Product Code,Product Description,Product Category Code,Tharisa PLC (1),Main Catagory (2),Sub Area (3),Product Category Description,Plant Area (4),STAT GROUP (5),STAT GROUP (6),STAT GROUP (7),STAT GROUP (8),Item Status,Statistical Group Code, Statistical Group Code Description , Bin Location , Bin Location Type , Quantity On Order , Stock On Hand , Max Stock QTY , Reorder QTY , Safety Stock QTY ,Moving Average Price, Total Value of Item 
160200349,NX400N 400A 3 POLE - LV432693,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ15402 , RACAR , -   ,1,1, -   , R 1.00 ,"$7,724.15 ","7,724.15"
160200350,MCCB 630A - LV432805,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ15403 , RACAR , -   ,1,1, -   , R 1.00 ,"$16,062.67 ","16,062.67"
160200351,MICROLOGY 1.3 500A NSX - LV43949 3P3D,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,CRI, Critical Stock , AJ15404 , RACAR , -   ,1,1, -   , R 1.00 ,"$21,465.36 ","21,465.36"
160200352,CONTACTOR 110 VAC - LX1FG110,1602,Plant WH1,General,Consumables,Consumables - Electrical,Contactor,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ15406 , RACAR , -   ,2,2, -   , R 1.00 ,$914.08 ,"1,828.16"
160200353,LX1FJ110 - CONTACTOR COIL,1602,Plant WH1,General,Consumables,Consumables - Electrical,Contactor,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ15405 , RACAR , -   ,2,2, -   , R 1.00 ,"$2,243.12 ","4,486.24"
160200354,COIL F500 110V - LX1FK110,1602,Plant WH1,General,Consumables,Consumables - Electrical,Contactor,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ14401 , RACAR , -   ,2,2, -   , R 1.00 ,"$2,346.80 ","4,693.60"
160200355,ROTARY HANDLE - MG1250NSX EXT,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ14402 , RACAR , -   ,1,1, -   , R 1.00 ,$741.88 ,741.88
160200356,TELE COMPLETE SEL SWITCH 2POS 1N/O,1602,Plant WH1,General,Consumables,Consumables - Electrical,Telehandler,Switches,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ14403 , RACAR , -   ,5,5, -   , R 3.00 ,$157.00 ,785
160200357,LIGHT LED WHITE IND 110VAC - XB4BVG1,1602,Plant WH1,General,Consumables,Consumables - Electrical,Lighting,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ14404 , RACAR , -   ,10,10, -   , R 5.00 ,$149.72 ,"1,497.20"
160200358,TELE PILOT LIGHT - RED 120V,1602,Plant WH1,General,Consumables,Consumables - Electrical,Telehandler,Lighting,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ14405 , RACAR , -   ,10,10, -   , R 5.00 ,$126.89 ,"1,268.90"
160200359,CONTACT BLOCK - ZB2BE101 1N/O,1602,Plant WH1,General,Consumables,Consumables - Electrical,Contact block,N/A 3,N/A 2,N/A 1,,Active,SLO, Slow Moving Stock , AJ14406 , RACAR , -   ,9,10, -   , R 5.00 ,$80.79 ,727.11
